                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 1.5082,                0.97735,                 0.9251,                0.67443,                0.56863,                0.58152,                0.22778,                 2.1252,                 1.2194,                 1.1151,               0.002872,               0.002872,               0.002872
                     74,                 1.5015,                0.92528,                 0.9248,                0.65393,                0.64706,                0.62364,                0.23822,                 2.1559,                  1.206,                 1.1302,               0.002773,               0.002773,               0.002773
                     75,                 1.4995,                0.93396,                 0.9346,                0.70643,                 0.5898,                0.61582,                0.24906,                 2.1025,                 1.2234,                 1.1153,               0.002674,               0.002674,               0.002674
                     76,                 1.5188,                0.93686,                0.91607,                0.63423,                0.68627,                0.63292,                0.24855,                 2.1009,                 1.1547,                 1.1305,               0.002575,               0.002575,               0.002575
                     77,                 1.4715,                0.92207,                0.91098,                0.65652,                 0.6184,                0.60285,                0.24792,                 2.0677,                 1.2123,                 1.1103,               0.002476,               0.002476,               0.002476
                     78,                 1.5016,                 0.9195,                0.92214,                0.65025,                0.62745,                0.60753,                0.23543,                 2.1552,                 1.2056,                  1.137,               0.002377,               0.002377,               0.002377
                     79,                 1.5302,                0.90295,                0.94347,                0.69669,                0.54412,                0.57791,                0.23098,                 2.2002,                 1.2074,                 1.1458,               0.002278,               0.002278,               0.002278
                     80,                 1.5245,                0.96346,                0.93051,                0.62224,                0.55715,                0.53625,                0.20298,                 2.2808,                 1.2252,                 1.1618,               0.002179,               0.002179,               0.002179
                     81,                 1.4798,                0.88321,                0.93964,                0.59754,                0.61275,                0.55351,                0.23874,                 2.1323,                  1.203,                  1.122,                0.00208,                0.00208,                0.00208
                     82,                 1.4803,                0.89915,                0.93444,                0.58306,                0.60784,                0.56716,                0.22924,                 2.1773,                 1.1973,                 1.1428,               0.001981,               0.001981,               0.001981
                     83,                  1.507,                0.91253,                 0.9307,                0.59988,                0.63725,                0.60466,                 0.2483,                 2.1073,                 1.1566,                 1.1231,               0.001882,               0.001882,               0.001882
                     84,                 1.4858,                0.91465,                0.92758,                0.62746,                0.62745,                0.59833,                0.25092,                 2.0656,                 1.1846,                 1.1052,               0.001783,               0.001783,               0.001783
                     85,                 1.5027,                0.90982,                0.93202,                0.71522,                0.56863,                0.62169,                0.26944,                  2.005,                 1.1586,                 1.0803,               0.001684,               0.001684,               0.001684
                     86,                 1.4384,                0.88349,                0.91307,                0.65245,                0.60784,                0.60582,                0.24148,                 2.1096,                  1.167,                 1.1163,               0.001585,               0.001585,               0.001585
                     87,                 1.4616,                0.90627,                0.91263,                0.73481,                0.53922,                0.58717,                0.22786,                 2.1274,                 1.1653,                 1.1184,               0.001486,               0.001486,               0.001486
                     88,                 1.5188,                0.90499,                0.92355,                0.68745,                0.56373,                0.58165,                0.22391,                  2.147,                 1.1845,                 1.1182,               0.001387,               0.001387,               0.001387
                     89,                 1.4844,                 0.8851,                0.90247,                0.59262,                0.65196,                0.57664,                0.23131,                 2.1056,                 1.1619,                 1.1111,               0.001288,               0.001288,               0.001288
                     90,                 1.4692,                0.92874,                0.92008,                0.67808,                0.54412,                0.57928,                0.23904,                 2.0871,                 1.1555,                 1.1016,               0.001189,               0.001189,               0.001189
